Participant ,Accent,Word,Sentence Number,F1 - Attempt 1,F2 - Attempt 1,F1 - Attempt 2,F2 - Attempt 2,F1 - Attempt 3,F2 - Attempt 3,Expected,Realized,IPA of Vowel,Gender,Age,,,,,,,,,,
1,Scottish,Look,1,451.81,1334.41,460.1,1353.41,425.2,1328.93,/l?k/,/l?k/,,Male - Cis,20,,,,,,,,,,
1,Scottish,Look,2,434.14,1397.27,434.47,1359.31,413.29,1347.74,/l?k/,/l?k/,,Male - Cis,20,,,,,,,,,,
1,Scottish,Look,3,371.89,1315.26,449.11,1270.3,413.54,1419.03,/l?k/,/l?k/,,Male - Cis,20,,,,,,,,,,
1,Scottish,Luck,4,629.36,958.77,634.22,979.88,609.38,1010.88,/l?k/,/l?k/,,Male - Cis,20,,,,,,,,,,
1,Scottish,Luck,5,626.63,1053.11,666.41,1101.83,607.73,1068.87,/l?k/,,,Male - Cis,20,,,,,,,,,,
1,Scottish,Luck,6,635.53,1084.71,577.65,1112.08,593.36,1019.73,/l?k/,,,Male - Cis,20,,,,,,,,,,
2,Scottish,Look,1,384.49,1649.33,482.34,1719.27,458.42,1520.64,/l?k/,,,Female - Cis,19,,,,,,,,,,
2,Scottish,Look,2,411.67,1322.12,394.84,1315.35,464.95,1356.45,/l?k/,,,Female - Cis,19,,,,,,,,,,
2,Scottish,Look,3,394.58,1175.79,404.7,1170.91,412.75,1108.98,/l?k/,,,Female - Cis,19,,,,,,,,,,
2,Scottish,Luck,4,534.74,1070.9,682.26,1144.76,669.65,1176.86,/l?k/,,,Female - Cis,19,,,,,,,,,,
2,Scottish,Luck,5,594.94,1189.62,546.91,1194.57,651.17,1147.93,/l?k/,,,Female - Cis,19,,,,,,,,,,
2,Scottish,Luck,6,660.02,1128,564.71,1085.32,594.94,1091.82,/l?k/,,,Female - Cis,19,,,,,,,,,,
3,Northern English,Look,1,492.26,1114.45,515.86,1141.48,489.85,1159.33,/l?k/,,,Male - Cis,23,,,,,,,,,,
3,Northern English,Look,2,491.22,1151.46,494.48,1257.76,505.51,1171.87,/l?k/,,,Male - Cis,23,,,,,,,,,,
3,Northern English,Look,3,513.16,1083.16,488.32,1087.8,497.15,1135.01,/l?k/,,,Male - Cis,23,,,,,,,,,,
3,Northern English,Luck,4,471.09,1112.69,488.79,1103.16,491.45,1095.93,/l?k/,,,Male - Cis,23,,,,,,,,,,
3,Northern English,Luck,5,504.68,1145.53,506.8,1115.88,503.57,1204,/l?k/,,,Male - Cis,23,,,,,,,,,,
3,Northern English,Luck,6,522.17,1119.48,510.51,1131.44,537.3,1155.32,/l?k/,,,Male - Cis,23,,,,,,,,,,
4,Northern English,Look,1,,,,,,,/l?k/,,,Female - Cis,21,,,,,,,,,,
4,Northern English,Look,2,,,,,,,/l?k/,,,Female - Cis,21,,,,,,,,,,
4,Northern English,Look,3,,,,,,,/l?k/,,,Female - Cis,21,,,,,,,,,,
4,Northern English,Luck,4,,,,,,,/l?k/,,,Female - Cis,21,,,,,,,,,,
4,Northern English,Luck,5,,,,,,,/l?k/,,,Female - Cis,21,,,,,,,,,,
4,Northern English,Luck,6,,,,,,,/l?k/,,,Female - Cis,21,,,,,,,,,,
5,American,Look,1,459.19,1237.24,451.46,1268.5,495.61,1404.42,/l?k/,,,Transgender - Male,19,,,,,,,,,,
5,American,Look,2,529.4,1212.93,521.14,1225.21,532.02,1255.64,/l?k/,,,Transgender - Male,19,,,,,,,,,,
5,American,Look,3,499.72,1138.55,548.13,1177.79,516.06,1309.61,/l?k/,,,Transgender - Male,19,,,,,,,,,,
5,American,Luck,4,687.68,1236.98,646.06,1199.97,742.96,1253.2,/l?k/,,,Transgender - Male,19,,,,,,,,,,
5,American,Luck,5,565.52,1321.61,621.9,1306.76,701.39,1289.36,/l?k/,,,Transgender - Male,19,,,,,,,,,,
5,American,Luck,6,689.12,1263.11,650.63,1151.97,625.2,1181.72,/l?k/,,,Transgender - Male,19,,,,,,,,,,
6,American,Look,1,,,,,,,/l?k/,,,Female - Cis,21,,,,,,,,,,
6,American,Look,2,,,,,,,/l?k/,,,Female - Cis,21,,,,,,,,,,
6,American,Look,3,,,,,,,/l?k/,,,Female - Cis,21,,,,,,,,,,
6,American,Luck,4,,,,,,,/l?k/,,,Female - Cis,21,,,,,,,,,,
6,American,Luck,5,,,,,,,/l?k/,,,Female - Cis,21,,,,,,,,,,
6,American,Luck,6,,,,,,,/l?k/,,,Female - Cis,21,,,,,,,,,,
7,American - Classifier,Look,1,,,,,,,-,,,Male - Cis,22,,,,,,,,,,
7,American - Classifier,Look,2,,,,,,,-,,,Male - Cis,22,,,,,,,,,,
7,American - Classifier,Look,3,,,,,,,-,,,Male - Cis,22,,,,,,,,,,
7,American - Classifier,Luck,4,,,,,,,-,,,Male - Cis,22,,,,,,,,,,
7,American - Classifier,Luck,5,,,,,,,-,,,Male - Cis,22,,,,,,,,,,
7,American - Classifier,Luck,6,,,,,,,-,,,Male - Cis,22,,,,,,,,,,
8,Canadian - Classifier,Look,1,,,,,,,-,,,Male - Cis,20,,,,,,,,,,
8,Canadian - Classifier,Look,2,,,,,,,-,,,Male - Cis,20,,,,,,,,,,
8,Canadian - Classifier,Look,3,,,,,,,-,,,Male - Cis,20,,,,,,,,,,
8,Canadian - Classifier,Luck,4,,,,,,,-,,,Male - Cis,20,,,,,,,,,,
8,Canadian - Classifier,Luck,5,,,,,,,-,,,Male - Cis,20,,,,,,,,,,
8,Canadian - Classifier,Luck,6,,,,,,,-,,,Male - Cis,20,,,,,,,,,,
